ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,type
2022-05-21T00:00:00.000Z,3.7668415329676275E9,2.0269641086769235E9,4.051999738384156E9,3.7668415329676275E9,3.7668415329676275E9,-7.420570706255122E8,-7.420570706255122E8,-7.420570706255122E8,-7.420570706255122E8,-7.420570706255122E8,-7.420570706255122E8,0.0,0.0,0.0,3.0247844623421154E9,Forecast
2022-06-18T00:00:00.000Z,3.8112885399338775E9,1.8655084535619073E9,3.9431110655833187E9,3.8112885399338775E9,3.8112885399338775E9,-8.682259071646913E8,-8.682259071646913E8,-8.682259071646913E8,-8.682259071646913E8,-8.682259071646913E8,-8.682259071646913E8,0.0,0.0,0.0,2.943062632769186E9,Forecast
2022-07-16T00:00:00.000Z,3.8557355469001274E9,2.2757954285849752E9,4.2415549932579994E9,3.8557355469001274E9,3.8557355469001274E9,-5.63744122398066E8,-5.63744122398066E8,-5.63744122398066E8,-5.63744122398066E8,-5.63744122398066E8,-5.63744122398066E8,0.0,0.0,0.0,3.2919914245020614E9,Forecast
2022-08-13T00:00:00.000Z,3.900182553866378E9,2.8062640656443067E9,4.788920199847351E9,3.900182553866378E9,3.900182553866378E9,-1.1315535646617919E8,-1.1315535646617919E8,-1.1315535646617919E8,-1.1315535646617919E8,-1.1315535646617919E8,-1.1315535646617919E8,0.0,0.0,0.0,3.7870271974001985E9,Forecast
2022-09-10T00:00:00.000Z,3.944629560832628E9,3.3787782506955786E9,5.396914264440658E9,3.944629560832628E9,3.944629560832628E9,4.534624018623076E8,4.534624018623076E8,4.534624018623076E8,4.534624018623076E8,4.534624018623076E8,4.534624018623076E8,0.0,0.0,0.0,4.398091962694936E9,Forecast
2022-10-08T00:00:00.000Z,3.9890765677988777E9,4.660260121920401E9,6.734018714738295E9,3.9890765677988777E9,3.9890765677988777E9,1.7495031002817688E9,1.7495031002817688E9,1.7495031002817688E9,1.7495031002817688E9,1.7495031002817688E9,1.7495031002817688E9,0.0,0.0,0.0,5.7385796680806465E9,Forecast
2022-11-05T00:00:00.000Z,4.033523574765128E9,4.413675383262238E9,6.474460818522297E9,4.033523574765128E9,4.033523574765128E9,1.4501888895940278E9,1.4501888895940278E9,1.4501888895940278E9,1.4501888895940278E9,1.4501888895940278E9,1.4501888895940278E9,0.0,0.0,0.0,5.483712464359156E9,Forecast
2022-12-03T00:00:00.000Z,4.0779705817313776E9,4.170138125341941E9,6.148005814456005E9,4.0779705806964283E9,4.0779705830698304E9,1.097596500033823E9,1.097596500033823E9,1.097596500033823E9,1.097596500033823E9,1.097596500033823E9,1.097596500033823E9,0.0,0.0,0.0,5.175567081765201E9,Forecast
2022-12-31T00:00:00.000Z,4.122417588697628E9,3.602966603864925E9,5.58231160956282E9,4.1224175851774654E9,4.122417592466516E9,5.103262402028447E8,5.103262402028447E8,5.103262402028447E8,5.103262402028447E8,5.103262402028447E8,5.103262402028447E8,0.0,0.0,0.0,4.632743828900473E9,Forecast
2023-01-28T00:00:00.000Z,4.1668645956638784E9,2.4256092006975493E9,4.424913896164875E9,4.1668645884606953E9,4.1668646034069934E9,-6.820139450786179E8,-6.820139450786179E8,-6.820139450786179E8,-6.820139450786179E8,-6.820139450786179E8,-6.820139450786179E8,0.0,0.0,0.0,3.4848506505852604E9,Forecast
2023-02-25T00:00:00.000Z,4.2113116026301284E9,2.3193302073339944E9,4.408361606470656E9,4.2113115912960954E9,4.2113116143478727E9,-8.245237834979542E8,-8.245237834979542E8,-8.245237834979542E8,-8.245237834979542E8,-8.245237834979542E8,-8.245237834979542E8,0.0,0.0,0.0,3.386787819132174E9,Forecast
2023-03-25T00:00:00.000Z,4.2557586095963783E9,2.8215605078110204E9,4.978695903359751E9,4.255758594023772E9,4.255758625799681E9,-3.4762979508639073E8,-3.4762979508639073E8,-3.4762979508639073E8,-3.4762979508639073E8,-3.4762979508639073E8,-3.4762979508639073E8,0.0,0.0,0.0,3.908128814509988E9,Forecast
2023-04-22T00:00:00.000Z,4.300205616562628E9,2.2182490472329483E9,4.2286027786853247E9,4.300205596671191E9,4.300205638123194E9,-1.0700415769655762E9,-1.0700415769655762E9,-1.0700415769655762E9,-1.0700415769655762E9,-1.0700415769655762E9,-1.0700415769655762E9,0.0,0.0,0.0,3.2301640395970516E9,Forecast
2018-10-06T00:00:00.000Z,1.6667204698410256E9,2.3924244251470113E9,4.396621443007423E9,1.6667204698410256E9,1.6667204698410256E9,1.722580721488009E9,1.722580721488009E9,1.722580721488009E9,1.722580721488009E9,1.722580721488009E9,1.722580721488009E9,0.0,0.0,0.0,3.389301191329035E9,Forecast
2018-11-03T00:00:00.000Z,1.7111674762393575E9,2.167483244156136E9,4.25286372244002E9,1.7111674762393575E9,1.7111674762393575E9,1.4567183819307761E9,1.4567183819307761E9,1.4567183819307761E9,1.4567183819307761E9,1.4567183819307761E9,1.4567183819307761E9,0.0,0.0,0.0,3.1678858581701336E9,Forecast
2018-12-01T00:00:00.000Z,1.755614482613865E9,1.9293256042249987E9,4.000053762573232E9,1.755614482613865E9,1.755614482613865E9,1.1598077384882252E9,1.1598077384882252E9,1.1598077384882252E9,1.1598077384882252E9,1.1598077384882252E9,1.1598077384882252E9,0.0,0.0,0.0,2.91542222110209E9,Forecast
2018-12-29T00:00:00.000Z,1.8000614889168966E9,1.2897024806339428E9,3.282584127851083E9,1.8000614889168966E9,1.8000614889168966E9,5.3583383635778564E8,5.3583383635778564E8,5.3583383635778564E8,5.3583383635778564E8,5.3583383635778564E8,5.3583383635778564E8,0.0,0.0,0.0,2.335895325274682E9,Forecast
2019-01-26T00:00:00.000Z,1.8445084952534807E9,2.883633757024971E8,2.269176164459478E9,1.8445084952534807E9,1.8445084952534807E9,-5.790902971284981E8,-5.790902971284981E8,-5.790902971284981E8,-5.790902971284981E8,-5.790902971284981E8,-5.790902971284981E8,0.0,0.0,0.0,1.2654181981249826E9,Forecast
2019-02-23T00:00:00.000Z,1.8889555016236176E9,8329967.080332858,2.0291567516732612E9,1.8889555016236176E9,1.8889555016236176E9,-8.622870278800879E8,-8.622870278800879E8,-8.622870278800879E8,-8.622870278800879E8,-8.622870278800879E8,-8.622870278800879E8,0.0,0.0,0.0,1.0266684737435298E9,Forecast
2019-03-23T00:00:00.000Z,1.9334025081199477E9,5.80935116358968E8,2.570815554220625E9,1.9334025081199477E9,1.9334025081199477E9,-3.7133040284493625E8,-3.7133040284493625E8,-3.7133040284493625E8,-3.7133040284493625E8,-3.7133040284493625E8,-3.7133040284493625E8,0.0,0.0,0.0,1.5620721052750115E9,Forecast
2019-04-20T00:00:00.000Z,1.9778495146047285E9,-3.718806477278536E7,1.9478432985417507E9,1.9778495146047285E9,1.9778495146047285E9,-1.0059759481980613E9,-1.0059759481980613E9,-1.0059759481980613E9,-1.0059759481980613E9,-1.0059759481980613E9,-1.0059759481980613E9,0.0,0.0,0.0,9.718735664066671E8,Forecast
2019-05-18T00:00:00.000Z,2.0222965210548618E9,1.55930729607497E8,2.2432414487483773E9,2.0222965210548618E9,2.0222965210548618E9,-7.608044693901819E8,-7.608044693901819E8,-7.608044693901819E8,-7.608044693901819E8,-7.608044693901819E8,-7.608044693901819E8,0.0,0.0,0.0,1.26149205166468E9,Forecast
2019-06-15T00:00:00.000Z,2.0667435275213983E9,1.2712810124519522E8,2.126820631394658E9,2.0667435275213983E9,2.0667435275213983E9,-9.491734373124794E8,-9.491734373124794E8,-9.491734373124794E8,-9.491734373124794E8,-9.491734373124794E8,-9.491734373124794E8,0.0,0.0,0.0,1.117570090208919E9,Forecast
2019-07-13T00:00:00.000Z,2.1111905340043385E9,6.263794532815863E8,2.563163818198608E9,2.1111905340043385E9,2.1111905340043385E9,-5.0506900401693493E8,-5.0506900401693493E8,-5.0506900401693493E8,-5.0506900401693493E8,-5.0506900401693493E8,-5.0506900401693493E8,0.0,0.0,0.0,1.6061215299874036E9,Forecast
2019-08-10T00:00:00.000Z,2.155637540390305E9,9.189886176689423E8,2.9455308175966144E9,2.155637540390305E9,2.155637540390305E9,-2.3312768553243375E8,-2.3312768553243375E8,-2.3312768553243375E8,-2.3312768553243375E8,-2.3312768553243375E8,-2.3312768553243375E8,0.0,0.0,0.0,1.9225098548578713E9,Forecast
2019-09-07T00:00:00.000Z,2.200084546768187E9,1.4663712618511248E9,3.521002072478533E9,2.200084546768187E9,2.200084546768187E9,3.437254974631619E8,3.437254974631619E8,3.437254974631619E8,3.437254974631619E8,3.437254974631619E8,3.437254974631619E8,0.0,0.0,0.0,2.543810044231349E9,Forecast
2019-10-05T00:00:00.000Z,2.244531553218791E9,2.9080747528563747E9,4.949608927914318E9,2.244531553218791E9,2.244531553218791E9,1.6971059323947294E9,1.6971059323947294E9,1.6971059323947294E9,1.6971059323947294E9,1.6971059323947294E9,1.6971059323947294E9,0.0,0.0,0.0,3.9416374856135206E9,Forecast
2019-11-02T00:00:00.000Z,2.2889785596563864E9,2.6953184098188176E9,4.768438564536214E9,2.2889785596563864E9,2.2889785596563864E9,1.463220934984539E9,1.463220934984539E9,1.463220934984539E9,1.463220934984539E9,1.463220934984539E9,1.463220934984539E9,0.0,0.0,0.0,3.7521994946409254E9,Forecast
2019-11-30T00:00:00.000Z,2.333425566080974E9,2.5123743268632903E9,4.494481242747605E9,2.333425566080974E9,2.333425566080974E9,1.1968605063803976E9,1.1968605063803976E9,1.1968605063803976E9,1.1968605063803976E9,1.1968605063803976E9,1.1968605063803976E9,0.0,0.0,0.0,3.5302860724613714E9,Forecast
2019-12-28T00:00:00.000Z,2.377872572502626E9,1.8714452901408937E9,3.911788296927977E9,2.377872572502626E9,2.377872572502626E9,5.500741633802041E8,5.500741633802041E8,5.500741633802041E8,5.500741633802041E8,5.500741633802041E8,5.500741633802041E8,0.0,0.0,0.0,2.92794673588283E9,Forecast
2020-01-25T00:00:00.000Z,2.422319578923299E9,9.465489735712495E8,2.957086420693058E9,2.422319578923299E9,2.422319578923299E9,-5.1060235980924445E8,-5.1060235980924445E8,-5.1060235980924445E8,-5.1060235980924445E8,-5.1060235980924445E8,-5.1060235980924445E8,0.0,0.0,0.0,1.9117172191140544E9,Forecast
2020-02-22T00:00:00.000Z,2.4667665852651734E9,6.093228077049885E8,2.628741731592524E9,2.4667665852651734E9,2.4667665852651734E9,-8.858614329229158E8,-8.858614329229158E8,-8.858614329229158E8,-8.858614329229158E8,-8.858614329229158E8,-8.858614329229158E8,0.0,0.0,0.0,1.5809051523422575E9,Forecast
2020-03-21T00:00:00.000Z,2.511213591670466E9,1.0523126165170693E9,3.123313067690928E9,2.511213591670466E9,2.511213591670466E9,-3.8952347784502417E8,-3.8952347784502417E8,-3.8952347784502417E8,-3.8952347784502417E8,-3.8952347784502417E8,-3.8952347784502417E8,0.0,0.0,0.0,2.1216901138254418E9,Forecast
2020-04-18T00:00:00.000Z,2.5556605981391754E9,5.0482197621962136E8,2.568347887152403E9,2.5556605981391754E9,2.5556605981391754E9,-9.596774387798597E8,-9.596774387798597E8,-9.596774387798597E8,-9.596774387798597E8,-9.596774387798597E8,-9.596774387798597E8,0.0,0.0,0.0,1.5959831593593159E9,Forecast
2020-05-16T00:00:00.000Z,2.6001076046183963E9,7.484930210447385E8,2.8331656196365795E9,2.6001076046183963E9,2.6001076046183963E9,-7.779742178611037E8,-7.779742178611037E8,-7.779742178611037E8,-7.779742178611037E8,-7.779742178611037E8,-7.779742178611037E8,0.0,0.0,0.0,1.8221333867572927E9,Forecast
2020-06-13T00:00:00.000Z,2.6445546111011205E9,6.183924805531061E8,2.6689358961524477E9,2.6445546111011205E9,2.6445546111011205E9,-9.715462935551745E8,-9.715462935551745E8,-9.715462935551745E8,-9.715462935551745E8,-9.715462935551745E8,-9.715462935551745E8,0.0,0.0,0.0,1.6730083175459461E9,Forecast
